,movie_title,release_year,runtime
7292,Sunless,1983,100.0
7293,Savannah Smiles,1982,105.0
7294,The Secret Policeman's Other Ball,1982,90.0
7295,Veronika Voss,1982,104.0
7296,Shoot the Moon,1982,124.0
7297,Six Pack,1982,108.0
7298,Six Weeks,1982,107.0
7299,The Soldier,1982,96.0
7300,Some Kind of Hero,1982,97.0
7301,The New York Ripper,1982,93.0
7302,The State of Things,1982,125.0
7303,Starstruck,1982,105.0
7304,Still of the Night,1982,91.0
7305,El Sur,1983,95.0
7306,Sword of the Valiant: The Legend of Sir Gawain and the Green Knight,1984,102.0
7307,Tag: The Assassination Game,1982,90.0
7308,Tempest,1982,140.0
7309,Tempest,1928,111.0
7310,Tenebre,1982,110.0
7311,They Call Me Bruce?,1982,85.0
7312,Time Walker,1982,83.0
7313,Trail of the Pink Panther,1982,96.0
7314,La traviata,1982,109.0
7315,Venom,1981,93.0
7316,Venom,2005,85.0
7317,To Begin Again,1982,87.0
7318,Die weisse Rose,1982,123.0
7319,White Dog,1982,90.0
7320,Who Dares Wins,1982,125.0
7321,Wrong Is Right,1982,117.0
7322,The Road,1982,124.0
7323,The Road,2009,111.0
7324,The Road,2011,110.0
7325,"Yor, the Hunter from the Future",1983,98.0
7326,Zapped!,1982,98.0
7327,Deliver Us from Eva,2003,105.0
7328,How to Lose a Guy in 10 Days,2003,116.0
7329,Shanghai Knights,2003,115.0
7330,Daredevil,2003,103.0
7331,The Jungle Book 2,2003,72.0
7332,All the Real Girls,2003,108.0
7333,Amandla! A Revolution in Four-Part Harmony,2002,103.0
7334,Painted Fire,2002,120.0
7335,Gerry,2002,103.0
7336,He Loves Me... He Loves Me Not,2002,92.0
7337,Lockdown,2000,105.0
7338,Ordinary Sinner,2001,91.0
7339,Dennis the Menace,1993,94.0
7340,Stand-In,1937,91.0
7341,10 to Midnight,1983,101.0
7342,The Black Stallion Returns,1983,103.0
7343,The Black Stallion,1979,118.0
7344,Cesar and Rosalie,1972,110.0
7345,A Countess from Hong Kong,1967,113.0
7346,Into the West,1992,97.0
7347,Into the West,2005,552.0
7348,Kinjite: Forbidden Subjects,1989,97.0
7349,Messenger of Death,1988,91.0
7350,Mr. Majestyk,1974,103.0
7351,Murphy's Law,1986,100.0
7352,A Patch of Blue,1965,105.0
7353,A Prayer for the Dying,1987,107.0
7354,Q & A,1990,132.0
7355,The Red Badge of Courage,1951,69.0
7356,The Thrill of It All,1963,108.0
7357,Pillow Talk,1959,102.0
7358,The Man Who Fell to Earth,1976,138.0
7359,Dark Blue,2002,118.0
7360,Gods and Generals,2003,214.0
7361,The Life of David Gale,2003,130.0
7362,Old School,2003,91.0
7363,Dischord,2001,102.0
7364,The Lawless Heart,2002,100.0
7365,The Navigators,2001,96.0
7366,Open Hearts,2002,113.0
7367,Poolhall Junkies,2002,99.0
7368,Till Human Voices Wake Us,2002,101.0
7369,Stone Reader,2002,127.0
7370,Cradle 2 the Grave,2003,101.0
7371,Spider,2002,98.0
7372,Spider,2007,10.0
7373,American Heart,1992,110.0
7374,Edie & Pen,1996,96.0
7375,Insignificance,1985,110.0
7376,Lady Jane,1986,142.0
7377,Late Marriage,2001,102.0
7378,Life Stinks,1991,92.0
7379,The Meteor Man,1993,100.0
7380,Mr. North,1988,93.0
7381,Seize the Day,1986,93.0
7382,The Slaughter Rule,2002,112.0
7383,Teenagers from Outer Space,1959,86.0
7384,Trouble Bound,1993,90.0
7385,Volcano High,2001,120.0
7386,Ten,2002,94.0
7387,Bringing Down the House,2003,105.0
7388,Tears of the Sun,2003,121.0
7389,Irreversible,2002,97.0
7390,Laurel Canyon,2002,103.0
7391,Nowhere in Africa,2001,140.0
7392,The Safety of Objects,2002,121.0
7393,Bend It Like Beckham,2002,112.0
7394,The Hunted,1995,106.0
7395,The Hunted,2003,94.0
7396,Willard,2003,100.0
7397,Willard,1971,95.0
7398,Gaudi Afternoon,2001,97.0
7399,Prozac Nation,2001,95.0
7400,Spun,2002,101.0
7401,Under the Skin of the City,2001,92.0
7402,King of Kings,1961,168.0
7403,The Lost Honor of Katharina Blum,1975,106.0
7404,Loving You,1957,101.0
7405,The Talk of the Town,1942,118.0
7406,Two-Lane Blacktop,1971,102.0
7407,Bang the Drum Slowly,1973,96.0
7408,The Benny Goodman Story,1956,102.0
7409,Born Free,1966,95.0
7410,Born Yesterday,1950,103.0
7411,Born Yesterday,1993,100.0
7412,Equus,1977,137.0
7413,Europa Europa,1990,108.0
7414,Fear Strikes Out,1957,100.0
7415,The Glenn Miller Story,1954,115.0
7416,Green Card,1990,108.0
7417,Journey to the Center of the Earth,1959,132.0
7418,Journey to the Center of the Earth,2008,93.0
7419,Journey to the Center of the Earth,1989,100.0
7420,Journey to the Center of the Earth,1999,180.0
7421,One Good Cop,1991,105.0
7422,Pauline at the Beach,1983,94.0
7423,Ringu,1998,96.0
7424,Ringu 2,1999,92.0
7425,Salaam Bombay!,1988,113.0
7426,Sweet Charity,1969,149.0
7427,Talent for the Game,1991,91.0
7428,Women in Love,1969,131.0
7429,Women in Love,2011,180.0
7430,Japón,2002,130.0
7431,Boat Trip,2002,94.0
7432,Dreamcatcher,2003,136.0
7433,Dreamcatcher,2015,104.0
7434,Piglet's Big Movie,2003,75.0
7435,View from the Top,2003,87.0
7436,Down & Out With The Dolls,2003,88.0
7437,The Awful Truth,1937,91.0
7438,The Bible: In the Beginning...,1966,174.0
7439,The House with Laughing Windows,1976,110.0
7440,I Am Curious (Yellow),1967,121.0
7441,Les Dames du Bois de Boulogne,1945,86.0
7442,My Friend Flicka,1943,89.0
7443,The Robe,1953,135.0
7444,Wind,1992,126.0
7445,Wind,1996,6.0
7446,Wind,2013,4.0
7447,Unknown Pleasures,2002,113.0
7448,Basic,2003,98.0
7449,The Core,2003,136.0
7450,Head of State,2003,95.0
7451,What a Girl Wants,2003,105.0
7452,Assassination Tango,2002,114.0
7453,Raising Victor Vargas,2002,88.0
7454,Stevie,2002,140.0
7455,Stevie,2008,94.0
7456,Dreams,1990,119.0
7457,Dreams,1955,87.0
7458,Day for Night,1973,115.0
7459,Eye of God,1997,84.0
7460,In a Lonely Place,1950,94.0
7461,Physical Evidence,1989,99.0
7462,Square Dance,1987,112.0
7463,Wake of the Red Witch,1948,106.0
7464,Winter Kills,1979,97.0
7465,Fellini: I'm a Born Liar,2003,105.0
7466,The Good Thief,2003,108.0
7467,A Man Apart,2003,109.0
7468,Phone Booth,2002,81.0
7469,Cet Amour-là,2001,100.0
7470,Cowboy Bebop: The Movie,2001,116.0
7471,DysFunktional Family,2003,89.0
7472,Levity,2003,100.0
7473,The Man Without a Past,2002,97.0
7474,Anger Management,2003,106.0
7475,Better Luck Tomorrow,2002,101.0
7476,Ghosts of the Abyss,2003,92.0
7477,House of 1000 Corpses,2003,89.0
7478,Lilya 4-ever,2002,109.0
7479,Marion Bridge,2003,90.0
7480,XX/XY,2002,91.0
7481,Bulletproof Monk,2003,104.0
7482,Chasing Papi,2003,80.0
7483,A Mighty Wind,2003,91.0
7484,Holes,2003,117.0
7485,Malibu's Most Wanted,2003,86.0
7486,Winged Migration,2001,98.0
7487,Flickering Lights,2000,109.0
7488,Straw Dogs,1971,118.0
7489,Straw Dogs,2011,110.0
7490,Beginning of the End,1957,73.0
7491,The Andromeda Strain,1971,131.0
7492,The Andromeda Strain,2008,180.0
7493,Brainscan,1994,96.0
7494,Fahrenheit 451,1966,112.0
7495,I Am Trying to Break Your Heart,2002,92.0
7496,The Iceman Cometh,1973,239.0
7497,Legal Eagles,1986,116.0
7498,Married to It,1993,112.0
7499,Memories of Me,1988,103.0
7500,The Other Side of Heaven,2001,113.0
7501,A Private Function,1984,94.0
7502,Sibling Rivalry,1990,87.0
7503,Undercover Blues,1993,90.0
7504,Wildcats,1986,106.0
7505,The Wiz,1978,134.0
7506,Swords of Blood,1962,104.0
7507,The Marrying Man,1991,116.0
7508,My Father the Hero,1991,105.0
7509,My Father the Hero,1994,90.0
7510,Scenes from a Mall,1991,89.0
7511,Stella,1990,109.0
7512,Stella,2008,103.0
7513,Stella,1950,83.0
7514,Stella,1955,100.0
7515,Confidence,2003,97.0
7516,Identity,2003,90.0
7517,It Runs in the Family,2003,109.0
7518,The Real Cancun,2003,96.0
7519,City of Ghosts,2002,116.0
7520,City of Ghosts,2017,90.0
7521,A Decade Under the Influence,2003,152.0
7522,House of Fools,2002,104.0
7523,Manic,2001,100.0
7524,People I Know,2002,100.0
7525,Spellbound,1945,111.0
7526,Spellbound,2002,97.0
7527,Spellbound,2011,114.0
7528,The Lizzie McGuire Movie,2003,94.0
7529,X2,2003,133.0
7530,Blue Car,2002,92.0
7531,The Dancer Upstairs,2002,132.0
7532,Marooned in Iraq,2002,108.0
7533,Owning Mahowny,2003,104.0
7534,Daddy Day Care,2003,92.0
7535,Man on the Train,2002,90.0
7536,Only the Strong Survive,2002,95.0
7537,The Shape of Things,2003,96.0
7538,The Trip,2002,95.0
7539,The Trip,1967,85.0
7540,The Trip,2010,107.0
7541,Washington Heights,2002,89.0
7542,101 Reykjavik,2000,88.0
7543,A Chorus Line,1985,113.0
7544,Absolute Beginners,1986,108.0
7545,Beat Street,1984,105.0
7546,Breakin' 2: Electric Boogaloo,1984,94.0
7547,Breakin',1984,90.0
7548,Castle in the Sky,1986,124.0
7549,Hysterical Blindness,2002,99.0
7550,Lambada,1990,104.0
7551,Roadie,1980,106.0
7552,Roadie,2011,95.0
7553,The Carpetbaggers,1964,150.0
7554,Les Girls,1957,114.0
7555,Gunfight at the O.K. Corral,1957,122.0
7556,High Society,1956,111.0
7557,High Society,1955,61.0
7558,Kiss Me Kate,1953,109.0
7559,The Matrix Reloaded,2003,138.0
7560,Dracula: Pages from a Virgin's Diary,2002,75.0
7561,Down with Love,2003,101.0
7562,Cinemania,2002,79.0
7563,Friends and Family,2001,87.0
7564,The Spanish Apartment,2002,122.0
7565,Pokémon Heroes: Latios and Latias,2002,71.0
7566,Bruce Almighty,2003,101.0
7567,The In-Laws,2003,98.0
7568,The In-Laws,1979,103.0
7569,Gigantic (A Tale Of Two Johns),2002,102.0
7570,Respiro,2002,95.0
7571,Finding Nemo,2003,100.0
7572,The Italian Job,2003,110.0
7573,The Italian Job,1969,99.0
7574,Wrong Turn,2003,84.0
7575,Capturing the Friedmans,2003,107.0
7576,The Three Marias,2002,0.0
7577,Together,2000,106.0
7578,Together,2002,116.0
7579,2 Fast 2 Furious,2003,107.0
7580,Love the Hard Way,2003,0.0
7581,Whale Rider,2003,101.0
7582,Nevada Smith,1966,128.0
7583,Once a Thief,1991,103.0
7584,Once a Thief,1965,107.0
7585,Once a Thief,1996,96.0
7586,Regeneration,1997,114.0
7587,Regeneration,1915,72.0
7588,Silk Stockings,1957,117.0
7589,Snowball Express,1972,93.0
7590,A Man Called Horse,1970,114.0
7591,For Sale,1998,100.0
7592,Big Jake,1971,110.0
7593,The Crazies,1973,103.0
7594,The Crazies,2010,101.0
7595,Dementia 13,1963,75.0
7596,Drole de Drame,1937,95.0
7597,Le Mans,1971,104.0
7598,Murder on a Sunday Morning,2001,111.0
7599,Rio Lobo,1970,114.0
7600,Siam Sunset,1999,91.0
7601,The Swimmer,1968,95.0
7602,The White Sheik,1952,86.0
7603,Treasure Island,1950,96.0
7604,Treasure Island,1990,131.0
7605,Treasure Island,1934,103.0
7606,Treasure Island,2012,180.0
7607,Treasure Island,1972,94.0
7608,Treasure Island,1999,94.0
7609,Treasure Island,1982,205.0
7610,Two Evil Eyes,1990,120.0
7611,Walk Don't Run,1966,114.0
7612,Animals Are Beautiful People,1974,92.0
7613,Bend of the River,1952,91.0
7614,Car Wash,1976,97.0
7615,Come September,1961,112.0
7616,Destry Rides Again,1939,94.0
7617,The Electric Horseman,1979,122.0
7618,Gay Purr-ee,1962,85.0
7619,Intervista,1987,102.0
7620,King Rat,1965,134.0
7621,Live Wire,1992,85.0
7622,Mr & Mrs Bridge,1990,126.0
7623,Night Passage,1957,90.0
7624,The Rare Breed,1966,97.0
7625,Shenandoah,1965,105.0
7626,Shenandoah,2012,97.0
7627,Straight Talk,1992,91.0
7628,Oscar,1991,109.0
7629,Oscar,1967,85.0
7630,The Sixth Man,1997,107.0
7631,The Far Country,1955,97.0
7632,The Railway Children,1970,109.0
7633,Two Mules for Sister Sara,1970,116.0
7634,Winchester '73,1950,92.0
7635,Ziggy  Stardust and the Spiders from Mars,1973,90.0
7636,Battle Cry,1955,149.0
7637,The Courtship of Eddie's Father,1963,118.0
7638,Man with a Movie Camera,1929,68.0
7639,"Objective, Burma!",1945,142.0
7640,Operation Pacific,1951,111.0
7641,This Boy’s Life,1993,115.0
7642,13 Rue Madeleine,1947,95.0
7643,633 Squadron,1964,102.0
7644,Attack,1956,107.0
7645,Barton Fink,1991,116.0
7646,Battle of Britain,1969,132.0
7647,Belle Époque,1992,109.0
7648,The Big Trail,1930,125.0
7649,Cloak and Dagger,1946,106.0
7650,The Comancheros,1961,105.0
7651,Duel at Diablo,1966,103.0
7652,The Flight of the Phoenix,1965,142.0
7653,From the Terrace,1960,149.0
7654,"Heaven Knows, Mr. Allison",1957,108.0
7655,The Hot Rock,1972,101.0
7656,"The Long, Hot Summer",1958,115.0
7657,Man of Aran,1934,76.0
7658,Music Box,1989,124.0
7659,North to Alaska,1960,122.0
7660,This Man Must Die,1969,113.0
7661,Sink the Bismarck!,1960,97.0
7662,The Blue Max,1966,156.0
7663,The Desert Fox: The Story of Rommel,1951,88.0
7664,The Trial,1962,118.0
7665,The Trial,2010,0.0
7666,The Unforgiven,1960,125.0
7667,The Undefeated,1969,119.0
7668,The Undefeated,2011,117.0
7669,Divine Trash,1998,97.0
7670,Good Burger,1997,103.0
7671,Jubilee,1978,106.0
7672,Mississippi Masala,1991,118.0
7673,Quai des Orfèvres,1947,106.0
7674,A Stranger Among Us,1992,110.0
7675,Cahill U.S. Marshal,1973,103.0
7676,Chisum,1970,111.0
7677,Defence of the Realm,1986,96.0
7678,Eat a Bowl of Tea,1989,102.0
7679,Half Moon Street,1986,90.0
7680,The Truce,1997,125.0
7681,Opportunity Knocks,1990,103.0
7682,Shattered,1991,98.0
7683,The Song of Bernadette,1943,156.0
7684,The Life and Times of Judge Roy Bean,1972,120.0
7685,The Spirit of '76,1990,82.0
7686,Thoroughly Modern Millie,1967,138.0
7687,Where the Heart Is,2000,120.0
7688,Where the Heart Is,1990,107.0
7689,Dumb and Dumberer: When Harry Met Lloyd,2003,85.0
7690,From Justin to Kelly,2003,90.0
7691,Hollywood Homicide,2003,116.0
7692,Rugrats Go Wild,2003,84.0
7693,The Hard Word,2002,102.0
7694,The Heart of Me,2002,96.0
7695,Jet Lag,2002,91.0
7696,Loco Love,2003,94.0
7697,Manito,2002,78.0
7698,No Turning Back,2002,101.0
7699,Tycoon,2002,128.0
7700,Tycoon,1947,128.0
7701,Alex & Emma,2003,96.0
7702,On_Line,2002,97.0
7703,Experiment in Terror,1962,123.0
7704,Extasis,1996,93.0
7705,Is Paris Burning?,1966,175.0
7706,Murphy's War,1971,107.0
7707,Orphans of the Storm,1921,150.0
7708,The Satanic Rites of Dracula,1973,87.0
7709,Strange Planet,1999,96.0
7710,28 Days Later,2002,113.0
7711,Charlie's Angels: Full Throttle,2003,106.0
7712,Gasoline,2001,90.0
7713,Ed and His Dead Mother,1993,93.0
7714,Fulltime Killer,2001,102.0
7715,Just a Little Harmless Sex,1999,98.0
7716,The Bank,2001,104.0
7717,The Bank,1915,33.0
7718,Ali: Fear Eats the Soul,1974,93.0
7719,"Bodies, Rest & Motion",1993,95.0
7720,Jesus,1979,117.0
7721,Jesus,1999,240.0
7722,The Long Ships,1964,126.0
7723,Made for Each Other,1939,92.0
7724,Ring of Terror,1962,71.0
7725,You Only Live Once,1937,86.0
7726,Anastasia,1997,94.0
7727,Anastasia,1956,105.0
7728,The Babe,1992,115.0
7729,Flight of the Intruder,1991,115.0
7730,Fun with Dick and Jane,1977,95.0
7731,Fun with Dick and Jane,2005,90.0
7732,Knights of the Round Table,1953,115.0
7733,The Main Event,1979,112.0
7734,Man's Favorite Sport?,1964,120.0
7735,Mr. Baseball,1992,108.0
7736,Never on Sunday,1960,91.0
7737,Nuts,1987,116.0
7738,Rhapsody in August,1991,98.0
7739,Scaramouche,1952,115.0
7740,Scaramouche,1923,124.0
7741,Start the Revolution Without Me,1970,90.0
7742,Strange Bedfellows,1965,98.0
7743,The Tenant,1976,125.0
7744,The Advocate,1993,102.0
7745,Up the Sandbox,1972,97.0
7746,"What's Up, Doc?",1972,94.0
7747,Hulk,2003,138.0
7748,"Legally Blonde 2: Red, White & Blonde",2003,95.0
7749,Sinbad: Legend of the Seven Seas,2003,86.0
7750,Terminator 3: Rise of the Machines,2003,109.0
7751,Swimming Pool,2003,102.0
7752,Swimming Pool,2001,89.0
7753,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143.0
7754,Madame Satã,2002,139.0
7755,The League of Extraordinary Gentlemen,2003,110.0
7756,The Cuckoo,2002,100.0
7757,The Holy Land,2001,102.0
7758,The Housekeeper,2002,91.0
7759,I Capture the Castle,2003,113.0
7760,Km. 0,2000,108.0
7761,Northfork,2003,103.0
7762,Bad Boys II,2003,147.0
7763,How to Deal,2003,99.0
7764,Johnny English,2003,88.0
7765,The Anarchist Cookbook,2002,101.0
7766,Dirty Pretty Things,2002,97.0
7767,L'imbalsamatore,2002,101.0
7768,Garage Days,2002,105.0
7769,On the Run,2002,117.0
7770,The Sea Is Watching,2002,119.0
7771,Born to Be Wild,1995,100.0
7772,Born to Be Wild,2011,40.0
7773,Curly Sue,1991,101.0
7774,Little Giants,1994,107.0
7775,Loose Cannons,1990,94.0
7776,Loose Cannons,2010,110.0
7777,The Mouse That Roared,1959,83.0
7778,Spencer's Mountain,1963,118.0
7779,Masked and Anonymous,2003,112.0
7780,Lara Croft Tomb Raider: The Cradle of Life,2003,117.0
7781,Seabiscuit,2003,141.0
7782,Spy Kids 3-D: Game Over,2003,84.0
7783,Buffalo Soldiers,2001,98.0
7784,Camp,2003,114.0
7785,Camp,2013,111.0
7786,Hotel,2001,93.0
7787,Hotel,1967,124.0
7788,Hotel,2004,73.0
7789,Hotel,2013,97.0
7790,"Lucía, Lucía",2003,110.0
7791,Mondays in the Sun,2002,113.0
7792,Scorched,2003,95.0
7793,Avanti!,1972,140.0
7794,Eve of Destruction,1991,99.0
7795,Gator,1976,115.0
7796,Juggernaut,1974,109.0
7797,Kickboxer 2:  The Road Back,1991,89.0
7798,"Kiss Me, Stupid",1964,125.0
7799,"One, Two, Three",1961,115.0
7800,Possible Loves,2001,0.0
7801,The Private Life of Sherlock Holmes,1970,125.0
7802,Remo Williams: The Adventure Begins...,1985,121.0
7803,The Blood of Heroes,1989,100.0
7804,"What's Up, Tiger Lily?",1966,80.0
7805,White Lightning,1973,101.0
7806,American Wedding,2003,103.0
7807,Gigli,2003,121.0
7808,And Now... Ladies and Gentlemen...,2002,133.0
7809,Boys Life 4: Four Play,2003,0.0
7810,I'll Be There,2003,105.0
7811,The Magdalene Sisters,2002,119.0
7812,The Secret Lives of Dentists,2002,104.0
7813,Freaky Friday,1976,95.0
7814,Freaky Friday,2003,97.0
7815,Freaky Friday,1995,86.0
7816,Seaside,2002,90.0
7817,S.W.A.T.,2003,117.0
7818,Le Divorce,2003,117.0
7819,Princess Blade,2001,95.0
7820,Step Into Liquid,2003,87.0
7821,Accattone,1961,120.0
7822,The Making of '...And God Spoke',1994,82.0
7823,Big Trouble,2002,85.0
7824,Big Trouble,1986,93.0
7825,Brain Damage,1988,86.0
7826,A Double Life,1947,104.0
7827,Hawks and Sparrows,1966,89.0
7828,The Man in the Glass Booth,1975,117.0
7829,Purpose,2002,96.0
7830,The Red Pony,1949,91.0
7831,Sex & the Other Man,1995,89.0
7832,The Gospel According to Matthew,1964,137.0
7833,The Honeymoon Killers,1970,108.0
7834,Umberto D.,1952,89.0
7835,Brother's Keeper,1992,104.0
7836,Brother's Keeper,2013,118.0
7837,The Day of the Dolphin,1973,104.0
7838,I Love You to Death,1990,94.0
7839,Freddy vs. Jason,2003,97.0
7840,Grind,2003,105.0
7841,Open Range,2003,139.0
7842,Shaolin Soccer,2001,113.0
7843,Uptown Girls,2003,92.0
7844,American Splendor,2003,101.0
7845,The Backyard,2002,80.0
7846,Carnage,2002,130.0
7847,Carnage,2011,80.0
7848,Passionada,2003,108.0
7849,Agent Cody Banks,2003,102.0
7850,Camp Nowhere,1994,96.0
7851,The Cemetery Club,1993,107.0
7852,Changing Habits,1997,95.0
7853,Hot Dog... The Movie,1984,96.0
7854,House of Wax,1953,90.0
7855,House of Wax,2005,113.0
7856,The Inn of the Sixth Happiness,1958,158.0
7857,Man's Best Friend,1993,97.0
7858,Of Unknown Origin,1983,88.0
7859,Royal Deceit,1994,85.0
7860,Rowing with the Wind,1988,126.0
7861,The Rachel Papers,1989,95.0
7862,The Sure Thing,1985,100.0
7863,Thrashin',1986,93.0
7864,Valley Girl,1983,99.0
7865,Wait Until Dark,1967,108.0
7866,Where the Rivers Flow North,1993,106.0
7867,Code Unknown,2000,118.0
7868,Showdown in Little Tokyo,1991,79.0
7869,Tokyo Story,1953,136.0
7870,The Green Ray,1986,98.0
7871,THX 1138,1971,86.0
7872,Valley of the Dolls,1967,123.0
7873,The Business of Fancydancing,2002,103.0
7874,Chunhyang,2000,120.0
7875,Tunes of Glory,1960,102.0
7876,Kind Hearts and Coronets,1949,106.0
7877,Ash Wednesday,2002,99.0
7878,Joe Kidd,1972,88.0
7879,The Keep,1983,96.0
7880,Atragon,1963,96.0
7881,The Mysterians,1957,89.0
7882,Attack of the Puppet People,1958,79.0
7883,"The Beast from 20,000 Fathoms",1953,80.0
7884,10,1979,122.0
7885,Tremors,1990,96.0
7886,The Red Shoes,1948,133.0
7887,The Red Shoes,2006,108.0
7888,Me & Isaac Newton,2000,0.0
7889,The Pink Panther,1963,115.0
7890,The Pink Panther,2006,93.0
7891,The Pink Panther Strikes Again,1976,103.0
7892,Commando,1985,90.0
7893,Dracula,1992,128.0
7894,Dracula,1931,72.0
7895,Dracula,1979,109.0
7896,The Discreet Charm of the Bourgeoisie,1972,101.0
7897,Waco: The Rules of Engagement,1997,136.0
7898,The Road Home,1999,89.0
7899,Ikiru,1952,143.0
7900,Comic Book Villains,2002,92.0
7901,An Angel at My Table,1990,158.0
7902,War Photographer,2001,96.0
7903,"Ay, Carmela!",1990,102.0
7904,War and Peace,1956,208.0
7905,War and Peace,2002,148.0
7906,War and Peace,1966,422.0
7907,War and Peace,2007,480.0
7908,Far Away,2001,120.0
7909,Incident at Oglala,1992,89.0
7910,Predictions of Fire,1996,90.0
7911,The Handmaid's Tale,1990,108.0
7912,Revolution OS,2001,85.0
7913,Live Nude Girls Unite!,2000,75.0
7914,All the Little Animals,1999,112.0
7915,Earth,1998,101.0
7916,Earth,1996,125.0
7917,Earth,1930,75.0
7918,Earth,2007,90.0
7919,Fire,1996,108.0
7920,Death in Venice,1971,130.0
7921,Marci X,2003,84.0
7922,The Medallion,2003,88.0
7923,My Boss's Daughter,2003,83.0
7924,Autumn Spring,2001,95.0
7925,The Battle of Shaker Heights,2003,79.0
7926,Don't Tempt Me,2001,95.0
7927,Dust,2001,127.0
7928,Dust,2008,90.0
7929,Dust,2005,107.0
7930,Stoked: The Rise And Fall Of Gator,2004,82.0
7931,Venus Boyz,2002,102.0
7932,Suddenly,2002,90.0
7933,Suddenly,1954,75.0
7934,Suddenly,2006,96.0
7935,Suddenly,2013,90.0
7936,Jeepers Creepers 2,2003,104.0
7937,Bollywood/Hollywood,2002,101.0
7938,Civil Brand,2003,95.0
7939,Nola,2003,97.0
7940,Once Upon a Time in the Midlands,2002,104.0
7941,The Other Side of the Bed,2002,114.0
7942,Zero Day,2003,92.0
7943,Dickie Roberts: Former Child Star,2003,98.0
7944,The Order,2003,102.0
7945,The Order,2001,89.0
7946,The Order,1973,44.0
7947,Home Room,2002,133.0
7948,Party Monster,2003,98.0
7949,Taking Sides,2001,108.0
7950,Cabin Fever,2003,93.0
7951,Cabin Fever,2016,99.0
7952,Matchstick Men,2003,116.0
7953,Once Upon a Time in Mexico,2003,102.0
7954,Dummy,2002,91.0
7955,Lost in Translation,2003,102.0
7956,Luster,2010,0.0
7957,Millennium Actress,2001,87.0
7958,So Close,2002,110.0
7959,Children Of The Night,1991,92.0
7960,Daisy Miller,1974,91.0
7961,Enlightenment Guaranteed,2000,109.0
7962,Gotcha!,1985,101.0
7963,Hard to Hold,1984,93.0
7964,Kuffs,1992,102.0
7965,Once Upon a Time in China,1991,134.0
7966,Once Upon a Time in China II,1992,113.0
7967,Once Upon a Time in China III,1993,105.0
7968,Paper Moon,1973,102.0
7969,Sgt. Pepper's Lonely Hearts Club Band,1978,113.0
7970,A Song for Martin,2001,118.0
7971,Targets,1968,90.0
7972,The Ugly American,1963,115.0
7973,The Bostonians,1984,122.0
7974,Convoy,1978,110.0
7975,Day of the Dead,1985,96.0
7976,Day of the Dead,2008,86.0
7977,"Hello, Dolly!",1969,146.0
7978,I'm Going Home,2001,90.0
7979,Memoirs of an Invisible Man,1992,99.0
7980,The Rose,1979,125.0
7981,See No Evil,1971,89.0
7982,See No Evil,2006,84.0
7983,Super Sucker,2002,93.0
7984,Indiscretion of an American Wife,1953,90.0
7985,At War with the Army,1950,93.0
7986,Bingo,1991,90.0
7988,God Told Me To,1976,91.0
7989,"I, Madman",1989,89.0
7990,Jungle Book,1942,108.0
7991,Once Bitten,1985,94.0
7992,Shrimp on the Barbie,1990,90.0
7993,Squirm,1976,92.0
7994,The Adventures of Huckleberry Finn,1960,107.0
7995,The Adventures of Huckleberry Finn,1939,91.0
7996,The Brood,1979,92.0
7997,The Prince and the Pauper,1937,118.0
7998,The Prince and the Pauper,1990,25.0
7999,The Prince and the Pauper,2000,90.0
8000,The Prince and the Pauper,1962,93.0
8001,Anything Else,2003,108.0
8002,Cold Creek Manor,2003,118.0
8003,The Fighting Temptations,2003,122.0
8004,Secondhand Lions,2003,111.0
8005,Underworld,1996,95.0
8006,Underworld,2003,121.0
8007,Underworld,1927,87.0
8008,Bubba Ho-tep,2002,92.0
8009,Casa de los Babys,2003,96.0
8010,Demonlover,2002,121.0
8011,Esmeraldero,2003,0.0
8012,Close Your Eyes,2002,108.0
8013,In This World,2002,88.0
8014,Tibet: Cry of the Snow Lion,2002,104.0
8015,Yossi & Jagger,2002,65.0
8016,Duplex,2003,89.0
8017,The Rundown,2003,104.0
8018,Under the Tuscan Sun,2003,113.0
8019,Camera Obscura,2000,0.0
8020,Kart Racer,2003,94.0
8021,Luther,2003,123.0
8022,Luther,1974,110.0
8023,Mambo Italiano,2003,92.0
8024,My Life Without Me,2003,106.0
8025,National Lampoon Presents Dorm Daze,2003,96.0
8026,To Be and to Have,2002,104.0
8027,The Triplets of Belleville,2003,80.0
8028,Videodrome,1983,87.0
8029,Life and Debt,2003,80.0
8030,Lagaan: Once Upon a Time in India,2001,224.0
8031,Judgment at Nuremberg,1961,186.0
8032,Journey of Hope,1990,110.0
8033,"Same Time, Next Year",1978,119.0
8034,A Brief History of Time,1991,80.0
8035,Jacob the Liar,1974,100.0
8036,Leningrad Cowboys Go America,1989,78.0
8037,The Rules of the Game,1939,110.0
8038,The Song Remains the Same,1976,137.0
8039,Seven Brides for Seven Brothers,1954,102.0
8040,Kiss of the Spider Woman,1985,120.0
8041,All the President's Men,1976,138.0
8042,Angie,1994,107.0
8043,The Apartment,1960,125.0
8044,The Apartment,1996,116.0
8045,Avalon,1990,126.0
8046,Avalon,2001,107.0
8047,Avalon,2011,79.0
8048,Babette's Feast,1987,102.0
8049,The Barber of Siberia,1998,180.0
8050,Beethoven,1992,87.0
8051,Beethoven's 2nd,1993,89.0
8052,Black Moon Rising,1986,100.0
