,movie_title
8863,Splatter University
8864,Twist
8865,Control Room
8866,Celsius 41.11: The Temperature at Which the Brain... Begins to Die
8867,The Cheat
8868,Dr. Jekyll and Mr. Hyde
8869,The Golem: How He Came Into the World
8870,The Golem: How He Came Into the World
8871,The Last of the Mohicans
8872,The Last of the Mohicans
8873,The Idle Class
8874,The Phantom Carriage
8875,Destiny
8876,The Sheik
8877,Häxan
8878,The Man from Beyond
8879,The Hunchback of Notre Dame
8880,Why Worry?
8881,Why Worry?
8882,He Who Gets Slapped
8883,The Marriage Circle
8884,"Sherlock, Jr."
8885,The Big Parade
8886,The Freshman
8887,The Freshman
8888,Greed
8889,The Phantom of the Opera
8890,The Jazz Singer
8891,October (Ten Days that Shook the World)
8892,October (Ten Days that Shook the World)
8893,Old San Francisco
8894,The Unknown
8895,Pandora's Box
8896,The Cameraman
8897,The Cameraman
8898,The Fall of the House of Usher
8899,The Crowd
8900,The Man Who Laughs
8901,Sadie Thompson
8902,"Steamboat Bill, Jr."
8903,"Steamboat Bill, Jr."
8904,Applause
8905,Un chien andalou
8906,Little Caesar
8907,L'Âge d'Or
8908,The Champ
8909,Monkey Business
8910,Night Nurse
8911,Boudu Saved from Drowning
8912,Doctor X
8913,Land Without Bread
8914,The Old Dark House
8915,Rasputin and the Empress
8916,Scarface
8917,Scarface
8918,Shanghai Express
8919,"I Was Born, But..."
8920,Vampyr
8921,What Price Hollywood?
8922,Dinner at Eight
8923,The Ghoul
8924,Gold Diggers of 1933
8925,Island of Lost Souls
8926,Lady for a Day
8927,She Done Him Wrong
8928,The Son of Kong
8929,The Vampire Bat
8930,Wild Boys of the Road
8931,L'Atalante
8932,The Barretts of Wimpole Street
8933,The Black Cat
8934,Imitation of Life
8935,The Lawless Frontier
8936,The Lost Patrol
8937,The Merry Widow
8938,The Scarlet Pimpernel
8939,Toni
8940,Bonnie Scotland
8941,The Informer
8942,Mark of the Vampire
8943,The Raven
8944,Werewolf of London
8945,The Crime of Monsieur Lange
8946,Fury
8947,Libeled Lady
8948,Mr. Deeds Goes to Town
8949,The Petrified Forest
8950,Revolt of the Zombies
8951,Show Boat
8952,These Three
8953,Wife vs. Secretary
8954,Camille
8955,Captains Courageous
8956,Dead End
8957,Double Wedding
8958,Nothing Sacred
8959,The Prisoner of Zenda
8960,The Prisoner of Zenda
8961,Stage Door
8962,Topper
8963,The Big Broadcast of 1938
8964,The Dawn Patrol
8965,Holiday
8966,The Shopworn Angel
8967,Gaslight
8968,Intermezzo: A Love Story
8969,The Roaring Twenties
8970,Wuthering Heights
8971,The Story of the Last Chrysanthemum
8972,Abe Lincoln in Illinois
8973,Boom Town
8974,Brother Orchid
8975,"Edison, the Man"
8976,The Letter
8977,The Sea Hawk
8978,Ball of Fire
8979,The 47 Ronin
8980,Here Comes Mr. Jordan
8981,In the Navy
8982,It Started with Eve
8983,Never Give a Sucker an Even Break
8984,That Uncertain Feeling
8985,Across the Pacific
8986,All Through the Night
8987,Gentleman Jim
8988,The Hard Way
8989,My Favorite Blonde
8990,Why We Fight: Prelude to War
8991,Why We Fight: Prelude to War
8992,Random Harvest
8993,Tales of Manhattan
8994,Action in the North Atlantic
8995,Action in the North Atlantic
8996,A Guy Named Joe
8997,Heaven Can Wait
8998,The Heavenly Body
8999,The Memphis Belle: A Story of a Flying Fortress
9000,Mr. Lucky
9001,Thousands Cheer
9002,Day of Wrath
9003,Cover Girl
9004,The Curse of the Cat People
9005,The Curse of the Cat People
9006,Henry V
9007,Torment
9008,The Mask of Dimitrios
9009,Ministry of Fear
9010,The Miracle of Morgan’s Creek
9011,Mr. Skeffington
9012,Mrs. Parkington
9013,Passage to Marseille
9014,The White Cliffs of Dover
9015,The Woman in the Window
9016,The Enchanted Cottage
9017,Isle of the Dead
9018,"Ivan the Terrible, Part I"
9019,The Southerner
9020,They Were Expendable
9021,A Tree Grows in Brooklyn
9022,The Beast with Five Fingers
9023,The Blue Dahlia
9024,The Dark Mirror
9025,Deception
9026,Great Expectations
9027,Humoresque
9028,Shoeshine
9029,The Stranger
9030,Mourning Becomes Electra
9031,Nightmare Alley
9032,Odd Man Out
9033,Road to Rio
9034,The Two Mrs. Carrolls
9035,3 Godfathers
9036,B.F.'s Daughter
9037,The Babe Ruth Story
9038,Easter Parade
9039,Fort Apache
9040,The Lady from Shanghai
9041,Letter from an Unknown Woman
9042,Louisiana Story
9043,The Naked City
9044,The Pirate
9045,They Live by Night
9046,The Three Musketeers
9047,Unfaithfully Yours
9048,Yellow Sky
9049,The Barkleys of Broadway
9050,In the Good Old Summertime
9051,In the Good Old Summertime
9052,A Letter to Three Wives
9053,Orpheus
9054,The Secret Garden
9055,The Story of Seabiscuit
9056,Annie Get Your Gun
9057,Les Enfants Terribles
9058,The Gunfighter
9059,King Solomon's Mines
9060,King Solomon's Mines
9061,Los Olvidados
9062,Scandal
9063,Summer Stock
9064,Europe '51
9065,Carbine Williams
9066,Carrie
9067,Clash by Night
9068,The Prisoner of Zenda
9069,The Life of Oharu
9070,Son of Paleface
9071,Abbott and Costello Meet Dr. Jekyll and Mr. Hyde
9072,Gun Fury
9073,Gate of Hell
9074,Man on a Tightrope
9075,The Titfield Thunderbolt
9076,The Belles of St. Trinian's
9077,The Crucified Lovers
9078,French Cancan
9079,It Should Happen to You
9080,"The Long, Long Trailer"
9081,Magnificent Obsession
9082,Salt of the Earth
9083,Samurai I: Musashi Miyamoto
9084,A Star Is Born
9085,Three Coins in the Fountain
9086,The Wild One
9087,The Cobweb
9088,It's Always Fair Weather
9089,It's Always Fair Weather
9090,Mr. Arkadin
9091,Night and Fog
9092,Samurai II: Duel at Ichijoji Temple
9093,The Seven Little Foys
9094,The Unknown Soldier
9095,Anything Goes
9096,The Burmese Harp
9097,Carousel
9098,Samurai III: Duel at Ganryu Island
9099,Rodan
9100,Barnacle Bill
9101,Chase a Crooked Shadow
9102,Fiend Without a Face
9103,Jailhouse Rock
9104,Man of a Thousand Faces
9105,The Spirit of St. Louis
9106,The Undead
9107,Zero Hour!
9108,Carve Her Name with Pride
9109,Corridors of Blood
9110,Giants and Toys
9111,The Last Hurrah
9112,Machine-Gun Kelly
9113,Teacher's Pet
9114,Torpedo Run
9115,The Vikings
9116,Al Capone
9117,Picnic on the Grass
9118,Invisible Invaders
9119,The Human Condition II: Road to Eternity
9120,Fires on the Plain
9121,North West Frontier
9122,The Nun's Story
9123,Pickpocket
9124,Floating Weeds
9125,The Young Philadelphians
9126,The Leech Woman
9127,When a Woman Ascends the Stairs
9128,The Sundowners
9129,Sunrise at Campobello
9130,The Bad Sleep Well
9131,Bachelor in Paradise
9132,The Deadly Companions
9133,The Four Horsemen of the Apocalypse
9134,The Intruder
9135,Murder She Said
9136,The Human Condition III: A Soldier's Prayer
9137,Paris Blues
9138,Taste of Fear
9139,Advise & Consent
9140,David and Lisa
9141,Eegah
9142,Harakiri
9143,The Loneliness of the Long Distance Runner
9144,The Music Man
9145,Mutiny on the Bounty
9146,An Occurrence at Owl Creek Bridge
9147,The Four Days of Naples
9148,Il Sorpasso
9149,The Wonderful World of the Brothers Grimm
9150,The Wonderful World of the Brothers Grimm
9151,L'eclisse
9152,Les Carabiniers
9153,The Cardinal
9154,The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?
9155,The Kiss of the Vampire
9156,Love with the Proper Stranger
9157,McLintock!
9158,Murder at the Gallop
9159,A New Kind of Love
9160,The Prize
9161,Sunday in New York
9162,Crooks in Clover
9163,36 Hours
9164,Becket
9165,Behold a Pale Horse
9166,The Best Man
9167,"Hush... Hush, Sweet Charlotte"
9168,The Killers
9169,The Naked Kiss
9170,Onibaba
9171,Robin and the 7 Hoods
9172,Robinson Crusoe on Mars
9173,Spider Baby
9174,The Visit
9175,What a Way to Go!
9176,Docking the Boat
9177,The Battle of Algiers
9178,A Charlie Brown Christmas
9179,Dracula: Prince of Darkness
9180,The Hallelujah Trail
9181,The Heroes of Telemark
9182,The Hill
9183,In Harm's Way
9184,Incubus
9185,The Loved One
9186,Major Dundee
9187,Operation Crossbow
9188,Ride in the Whirlwind
9189,A Thousand Clowns
9190,The Train
9191,Andrei Rublev
9192,Au Hasard Balthazar
9193,Batman
9194,Grand Prix
9195,Khartoum
9196,Khartoum
9197,Dragon Inn
9198,Manos: The Hands of Fate
9199,Closely Watched Trains
9200,Tokyo Drifter
9201,Asterix the Gaul
9202,"Gappa, the Triphibian Monster"
9203,Dont Look Back
9204,Fando and Lis
9205,The Incident
9206,Branded to Kill
9207,The Bride Wore Black
9208,PlayTime
9209,Point Blank
9210,The Shooting
9211,The St. Valentine's Day Massacre
9212,Titicut Follies
9213,Tony Rome
9214,Two for the Road
9215,Up the Down Staircase
9216,The War Wagon
9217,Asterix and Cleopatra
9218,Asterix and Cleopatra
9219,Asterix and Cleopatra
9220,The Diamond Arm
9221,Dracula Has Risen from the Grave
9222,Head
9223,The Heart Is a Lonely Hunter
9224,"I Love You, Alice B. Toklas!"
9225,Petulia
9226,The Subject Was Roses
9227,Sympathy for the Devil
9228,War and Peace
9229,"Yours, Mine and Ours"
9230,Alice's Restaurant
9231,Camille 2000
9232,Colossus: The Forbin Project
9233,Death Rides a Horse
9234,"Goodbye, Mr. Chips"
9235,Journey to the Far Side of the Sun
9236,Last Summer
9237,My Night at Maud's
9238,The Magic Christian
9239,Marlowe
9240,More
9241,The Reivers
9242,Taste the Blood of Dracula
9243,The Joke
9244,...tick... tick... tick...
9245,Brewster McCloud
9246,Violent City
9247,Dirty Dingus Magee
9248,Dodes'ka-den
9249,Gamera vs. Jiger
9250,Claire's Knee
9251,"Hi, Mom!"
9252,House of Dark Shadows
9253,A Swedish Love Story
9254,The Landlord
9255,On a Clear Day You Can See Forever
9256,Performance
9257,Performance
9258,A Trip Down the River
9259,Long Live Death
9260,The White Sun of the Desert
9261,Zabriskie Point
9262,The Beguiled
9263,The Devils
9264,Duel
9265,Evil Roy Slade
9266,The Go-Between
9267,Johnny Got His Gun
9268,Lawman
9269,Let's Scare Jessica to Death
9270,They Call Me Trinity
9271,Mon oncle Antoine
9272,A New Leaf
9273,Nicholas and Alexandra
9274,Von Richthofen and Brown
9275,Scars of Dracula
9276,Support Your Local Gunfighter
9277,Sweet Sweetback's Baadasssss Song
9278,El Topo
9279,The Emigrants
9280,Blood of Ghastly Horror
9281,Brother John
9282,Dr. Phibes Rises Again
9283,Dracula A.D. 1972
9284,Get to Know Your Rabbit
9285,The Tall Blond Man with One Black Shoe
9286,Lone Wolf and Cub: Sword of Vengeance
9287,Lone Wolf and Cub: Baby Cart at the River Styx
9288,Lady Sings the Blues
9289,Payday
9290,Slither
9291,Trafic
9292,The Mad Adventures of Rabbi Jacob
9293,Charley Varrick
9294,Dark Star
9295,A Delicate Balance
9296,Bram Stoker's Dracula
9297,Emperor of the North
9298,Executive Action
9299,The Glass Menagerie
9300,My Name Is Nobody
9301,Invasion of the Bee Girls
9302,Lemora: A Child's Tale of the Supernatural
9303,Phase IV
9304,Save the Tiger
9305,Scarecrow
9306,Sisters
9307,The Spook Who Sat by the Door
9308,Theatre of Blood
9309,Five Fingers of Death
9310,Turkish Delight
9311,Walking Tall
9312,Butley
9313,California Split
9314,The Cars That Ate Paris
9315,Conrack
9316,The Living Dead at Manchester Morgue
9317,Emmanuelle
9318,The Phantom of Liberty
9319,Flesh for Frankenstein
9320,General Idi Amin Dada
9321,Gone in 60 Seconds
9322,Gone in 60 Seconds
9323,The Groove Tube
9324,Harry and Tonto
9325,Hearts and Minds
9326,The Holy Mountain
9327,The Little Prince
9328,The Terminal Man
9329,Thieves Like Us
9330,The Adventure of Sherlock Holmes' Smarter Brother
9331,The Adventures of the Wilderness Family
9332,"Cousin, Cousine"
9333,Dolemite
9334,The Twelve Tasks of Asterix
9335,The Twelve Tasks of Asterix
9336,The Twelve Tasks of Asterix
9337,The Twelve Tasks of Asterix
9338,Emmanuelle II
9339,"Farewell, My Lovely"
9340,The Fortune
9341,French Connection II
9342,The Great Waldo Pepper
9343,The Story of Adele H
9344,"The Irony of Fate, or Enjoy Your Bath!"
9345,Night Moves
9346,The Passenger
9347,Hand of Death
9348,Sister Street Fighter
9349,Supervixens
9350,Trilogy of Terror
9351,1900
9352,Small Change
9353,Twenty Days Without War
9354,From Noon Till Three
9355,Futureworld
9356,Harlan County U.S.A.
9357,Hollywood Boulevard
9358,Hollywood Boulevard
9359,The Marquise of O
9360,Mistress
9361,The Message
9362,The Missouri Breaks
9363,A Slave of Love
9364,Silver Streak
9365,Up!
9366,Who Can Kill a Child?
9367,ABBA - The Movie
9368,Demon Seed
9369,High Anxiety
9370,The Man Who Loved Women
9371,The Hound of the Baskervilles
9372,Place without Limits
9373,"New York, New York"
9374,Providence
9375,Sorcerer
9376,The Turning Point
9377,The Rutles: All You Need Is Cash
9378,The Rutles: All You Need Is Cash
9379,Brass Target
9380,Capricorn One
9381,The Five Venoms
9382,Gates of Heaven
9383,Last Hurrah for Chivalry
9384,Harper Valley P.T.A.
9385,The Hobbit
9386,The Hobbit
9387,In Praise Of Older Women
9388,Parts: The Clonus Horror
9389,The Grapes of Death
9390,The Adventures of Picasso
9391,Snake in the Eagle's Shadow
9392,A Wedding
9393,Best Boy
9394,French Fried Vacation 2
9395,Buffet Froid
9396,Hair
9397,I as in Icarus
9398,The In-Laws
9399,Love at First Bite
9400,La Luna
9401,Opening Night
9402,Quintet
9403,Rockers
9404,Rockers
9405,Starting Over
9406,Children's Island
9407,Defiance
9408,The Hitch Hikers Guide to the Galaxy
9409,Genocide
9410,Peter-No-Tail
9411,Peter-No-Tail
9412,Treasure of the Yankee Zephyr
9413,Smiley's People
9414,The Scarlet Pimpernel
9415,Bad Boys
9416,Barefoot Gen
9417,Blue Thunder
9418,D.C. Cab
9419,The Day After
9420,Deal of the Century
9421,Doctor Detroit
9422,Eddie Murphy: Delirious
9423,El Norte
9424,Lianna
9425,"Merry Christmas, Mr. Lawrence"
9426,The Pirates of Penzance
9427,The Raiders of Atlantis
9428,First Name: Carmen
9429,Rock & Rule
9430,Sugar Cane Alley
9431,Rumble Fish
9432,The Makioka Sisters
9433,Star 80
9434,The Star Chamber
9435,Strange Invaders
9436,Stroker Ace
9437,To Be or Not to Be
9438,Twilight Zone: The Movie
9439,Twilight Zone: The Movie
9440,Twilight Zone: The Movie
9441,Twilight Zone: The Movie
9442,The Fourth Man
9443,Suburbia
9444,Yellowbeard
9445,One Deadly Summer
9446,Another Country
9447,Boy Meets Girl
9448,Choose Me
9449,A Christmas Carol
9450,Cloak & Dagger
9451,Comfort and Joy
9452,Dangerous Moves
9453,Electric Dreams
9454,The Ewok Adventure
9455,The Hit
9456,The Ice Pirates
9457,Irreconcilable Differences
9458,The Last Polka
9459,Next of Kin
9460,Full Moon in Paris
9461,Racing with the Moon
9462,"Silent Night, Deadly Night"
9463,The Times of Harvey Milk
9464,Drunken Tai Chi
9465,What Have I Done to Deserve This?
9466,Anne of Green Gables
9467,Asterix vs. Caesar
9468,Asterix vs. Caesar
9469,Barbarian Queen
9470,Beer
9471,Bliss
9472,Creator
9473,Death of a Salesman
9474,Demons
9475,Ewoks: The Battle for Endor
9476,Ewoks: The Battle for Endor
9477,Heaven Help Us
9478,Mr. Vampire
9479,Police Story
9480,Mishima: A Life in Four Chapters
9481,9 Deaths of the Ninja
9482,Peter-No-Tail in Americat
9483,Peter-No-Tail in Americat
9484,The Quiet Earth
9485,Spies Like Us
9486,The Stuff
9487,Target
9488,The Unknown Soldier
9489,Vision Quest
9490,White Nights
9491,’Round Midnight
9492,Asterix in Britain
9493,The Best of Times
9494,Club Paradise
9495,Dead End Drive-In
9496,Flodder
9497,Ginger and Fred
9498,Nobody's Fool
9499,The Sacrifice
9500,The Park is Mine
9501,Sherman's March
9502,Solarbabies
9503,A Better Tomorrow
9504,Dragons Forever
9505,G.I. Joe: The Movie
9506,Hell Comes to Frogtown
9507,Hell Comes to Frogtown
9508,Where Is My Friend's House?
9509,Leif
9510,Law of Desire
9511,Malone
9512,Pathfinder
9513,Prince of Darkness
9514,A Chinese Ghost Story
9515,Street Smart
9516,Weeds
9517,The Whales of August
9518,A Better Tomorrow II
9519,Ashik Kerib
9520,The Bourne Identity
9521,Cannibal Women in the Avocado Jungle of Death
9522,Cobra Verde
9523,Comic Book Confidential
9524,Dominick and Eugene
9525,Jack's Back
9526,Killer Klowns from Outer Space
9527,Moonwalker
9528,Moonwalker
9529,Moonwalker
9530,Alice
9531,Pascali's Island
9532,Prison
9533,Split Decisions
9534,Tales from the Gimli Hospital
9535,Landscape in the Mist
9536,Life Is a Long Quiet River
9537,A World Apart
9538,Common Threads: Stories from the Quilt
9539,Common Threads: Stories from the Quilt
9540,Kiki's Delivery Service
9541,Monsieur Hire
9542,Moon 44
9543,Rikyu
9544,Speaking Parts
9545,Prime Suspect
9546,Boiling Point
9547,Almost an Angel
9548,Black Rainbow
9549,Cry-Baby
9550,Bullet in the Head
9551,Downtown
9552,Frankenhooker
9553,The Garden
9554,Ghost Dad
9555,Hard to Kill
9556,Havana
9557,Shipwrecked
9558,I Hired a Contract Killer
9559,Ju Dou
9560,Ju Dou
9561,The Krays
9562,Lionheart
9563,Narrow Margin
9564,Close-Up
9565,Nuns on the Run
9566,Patlabor: The Movie
9567,The Reflecting Skin
9568,Riff-Raff
9569,State of Grace
9570,Auntie Danielle
9571,Time to Kill
9572,"Welcome Home, Roxy Carmichael"
9573,35 Up
9574,Days of Being Wild
9575,Across the Tracks
9576,Begotten
9577,Life on a String
9578,Cadence
9579,Closet Land
9580,Delusion
9581,Dollman
9582,Dutch
9583,Guilty by Suspicion
9584,Hearts of Darkness: A Filmmaker's Apocalypse
9585,Hearts of Darkness: A Filmmaker's Apocalypse
9586,Hearts of Darkness: A Filmmaker's Apocalypse
9587,High Strung
9588,Homicide
9589,Johnny Stecchino
9590,A Kiss Before Dying
9591,Riki-Oh: The Story of Ricky
9592,Light Sleeper
9593,The Linguini Incident
9594,Mannequin Two: On the Move
9595,Only Yesterday
9596,Once Around
9597,Other People's Money
9598,Out for Justice
9599,Prospero's Books
9600,Quigley Down Under
9601,Rubin and Ed
9602,Shout
9603,Stinsen brinner... filmen alltså
9604,Stinsen brinner... filmen alltså
9605,Stone Cold
9606,Strangers in Good Company
9607,Surviving Desire
9608,All the Mornings of the World
9609,Assassin of the Tsar
9610,Wild Hearts Can't Be Broken
9611,Prime Suspect 2
9612,Aileen Wuornos: The Selling of a Serial Killer
9613,Barbarian Queen II: The Empress Strikes Back
9614,Captain America
9615,City Hunter
9616,The Oak
9617,Citizen Cohn
9618,Crossing The Bridge
9619,Diggstown
9620,Innocent Blood
9621,Johnny Suede
9622,Porco Rosso
9623,The Stolen Children
9624,LadyBugs
9625,The Mambo Kings
9626,Night and the City
9627,The Story of Qiu Ju
9628,Shining Through
9629,Sidekicks
9630,Tito and Me
9631,A Heart in Winter
9632,Visions of Light
9633,Visions of Light
9634,Visions of Light
9635,New Dragon Gate Inn
9636,Life and Nothing More...
9637,House of Angels
9638,Return to Lonesome Dove
9639,American Ninja 5
9640,The Baby of Mâcon
9641,Bad Boy Bubby
9642,The Bride with White Hair
9643,Barbarians at the Gate
9644,Calendar
9645,Cyborg 2
9646,Deadly Advice
9647,The Legend II
9648,Fortress
9649,The Puppetmaster
9650,Josh and S.A.M.
9651,Latcho Drom
9652,Leningrad Cowboys Meet Moses
9653,Mr. Nanny
9654,The Night We Never Met
9655,Philadelphia Experiment II
9656,The Positively True Adventures of the Alleged Texas Cheerleader Murdering Mom
9657,The Snapper
9658,Sonatine
9659,Splitting Heirs
9660,Tai-Chi Master
9661,Three of Hearts
9662,The Stand
9663,71 Fragments of a Chronology of Chance
9664,Naked Killer
9665,Dark Angel: The Ascent
9666,Darkman II: The Return of Durant
9667,Embrace of the Vampire
9668,Felidae
9669,Floundering
9670,Freaked
9671,Freaked
9672,Golden Gate
9673,Fist of Legend
9674,Paperback Romance
9675,Macross Plus: Movie Edition
9676,Macross Plus: Movie Edition
9677,Major League II
9678,My Father the Hero
9679,"Take Care of Your Scarf, Tatiana"
9680,Pumpkinhead II: Blood Wings
9681,A Pure Formality
9682,Staggered
9683,The Defender
9684,The Langoliers
9685,Blood & Donuts
9686,Gonin
9687,Kivenpyörittäjän kylä
9688,Last of the Dogmen
9689,Whisper of the Heart
9690,The Passion of Darkly Noon
9691,High Risk
9692,Street Fighter II: The Animated Movie
9693,Trinity And Beyond: The Atomic Bomb Movie
9694,Tromeo & Juliet
9695,Cannibal! The Musical
9696,A Summer's Tale
9697,Fetishes
9698,The God of Cookery
9699,The God of Cookery
9700,Jack Frost
9701,The Hunters
9702,Drifting Clouds
9703,The Late Shift
9704,"Pretty Village, Pretty Flame"
9705,My Man
9706,No Way Back
9707,No Way Home
9708,Pusher
9709,Robinson Crusoe
9710,Robinson Crusoe
9711,Freakin' Beautiful World
9712,Sgt. Kabukiman N.Y.P.D.
9713,Sgt. Kabukiman N.Y.P.D.
9714,Earth
9715,Emma
9716,American Perfekt
9717,Bikini Summer III: South Beach Heat
9718,The Boxer
9719,The Brave
9720,Cremaster 5
9721,Executive Target
9722,Face
9723,Snow White: A Tale of Terror
9724,Gummo
9725,Hamilton
9726,Chicago Cab
9727,Chicago Cab
9728,Kiss or Kill
9729,Destiny
9730,Mean Guns
9731,Men with Guns
9732,Nirvana
9733,Dance with the Devil
9734,Photographing Fairies
9735,Postman Blues
9736,Quicksilver Highway
9737,The Swindle
9738,Safe House
9739,"Sick: The Life and Death of Bob Flanagan, Supermasochist"
9740,The Lion King 2: Simba's Pride
9741,Wishful Thinking
9742,From the Earth to the Moon
9743,Beowulf
9744,From Dusk Till Dawn 3: The Hangman's Daughter
9745,The Interview
9746,RKO 281
9747,From Dusk Till Dawn 2: Texas Blood Money
9748,"Torrente, the Dumb Arm of the Law"
9749,Koko Flanel
9750,Koko Flanel
9751,Bruno
9752,Dead Man's Curve
9753,Fudoh: The New Generation
9754,Gia
9755,Thursday
9756,Sophie's World
9757,Wavelength
9758,Who Am I?
9759,Who Am I?
9760,The Kingdom II
9761,The Kingdom II
9762,Merlin
9763,Rogue Trader
9764,Breast Men
9765,A Murder of Crows
9766,"Bang, Boom, Bang"
9767,Batman & Mr. Freeze: SubZero
9768,The Pentagon Wars
9769,A Place Called Chiapas
9770,Two Hands
9771,Brave New World
9772,Brave New World
9773,Addams Family Reunion
9774,Thick as Thieves
9775,Set Me Free
9776,Claire Dolan
9777,Jigoku
9778,The Smashing Pumpkins: Vieuphoria
9779,The Class Trip
9780,Flowers of Shanghai
9781,The Hole
9782,Of Freaks and Men
9783,Das merkwürdige Verhalten geschlechtsreifer Großstädter zur Paarungszeit
9784,Purgatory
9785,Juha
9786,Lady Snowblood
9787,The Tough Ones
9788,Takedown
9789,Bleeder
9790,Dil Se..
9791,The Bodyguard
9792,Vidocq
9793,Molokai: The Story of Father Damien
9794,Le Samouraï
9795,Le Samouraï
9796,Le Samouraï
9797,Le Samouraï
9798,Candyman: Day of the Dead
9799,The 4th Floor
9800,A Long Hot Summer
9801,The Batman Superman Movie: World's Finest
9802,The End of Evangelion
9803,The End of Evangelion
9804,The Life of Aleksis Kivi
9805,The Life of Aleksis Kivi
9806,He Died with a Felafel in His Hand
9807,He Died with a Felafel in His Hand
9808,He Died with a Felafel in His Hand
9809,Kuch Kuch Hota Hai
9810,Document of the Dead
9811,Venus Beauty Institute
9812,Cherry Falls
9813,Freeway II: Confessions of a Trickbaby
9814,Joseph and the Amazing Technicolor Dreamcoat
9815,Style Wars
9816,In July
9817,Joan of Arc
9818,Kirikou and the Sorceress
9819,After the Rain
9820,The Prophecy 3: The Ascent
9821,Taxi 2
9822,Pups
9823,Peculiarities of the National Fishing
9824,Cut
9825,Kadosh
9826,Essex Boys
9827,Picking Up the Pieces
9828,Badding
9829,The Wedding Waltz
9830,Meeting People Is Easy
9831,Cruel Intentions 2
9832,Adrenaline Drive
9833,Humanité
9834,Beautiful Joe
9835,The Underground Comedy Movie
9836,The Shrink Is In
9837,Charisma
9838,Guest House Paradiso
9839,Swimming
9840,If These Walls Could Talk 2
9841,If These Walls Could Talk 2
9842,If These Walls Could Talk 2
9843,The Trumpet Of The Swan
9844,The Trumpet Of The Swan
9845,The 10th Kingdom
9846,The 10th Kingdom
9847,An Extremely Goofy Movie
9848,The Wind Will Carry Us
9849,Water Drops on Burning Rocks
9850,The Tracker
9851,2046
9852,Bruiser
9853,Taboo
9854,Crane World
9855,Cremaster 2
9856,Running Out of Time
9857,The Wog Boy
9858,Century of the Dragon
9859,Chasing Sleep
9860,The Stepdaughter
9861,Possible Worlds
9862,The Nameless
9863,The Debt
9864,Female Prisoner #701: Scorpion
9865,Female Prisoner Scorpion: Jailhouse 41
9866,Bartleby
9867,Night of the Day of the Dawn of the Son of the Bride Part 2: In Shocking 2-D
9868,Restless
9869,Shiner
9870,Batman Beyond: Return of the Joker
9871,Roberto Succo
9872,Suzhou River
9873,6ixtynin9
9874,Audition
9875,The Nine Lives of Tomas Katz
9876,For Love or Country: The Arturo Sandoval Story
9877,Paragraph 175
9878,Paragraph 175
9879,Devdas
9880,Mimic 2
9881,Monday
9882,Paradise Lost 2: Revelations
9883,Paradise Lost 2: Revelations
9884,Dark Prince: The True Story of Dracula
9885,Sound and Fury
9886,The Hole
9887,The Sleeping Dictionary
9888,When Strangers Appear
9889,Revolutionary Girl Utena: The Movie
9890,Speaking of Sex
9891,Good Advice
9892,Needing You...
9893,Needing You...
9894,The Mists of Avalon
9895,Spiral
9896,The Big Animal
9897,Old Men in New Cars: In China They Eat Dogs II
9898,Purely Belter
9899,The Quickie
9900,Kabhi Khushi Kabhie Gham
9901,The River
9902,Werckmeister Harmonies
9903,Werckmeister Harmonies
9904,Asterix & Obelix: Mission Cleopatra
9905,Is It Fall Yet?
9906,Is It Fall Yet?
9907,Late Night Shopping
9908,Uprising
9909,61*
9910,The Tunnel
9911,Long Time Dead
9912,The Laramie Project
9913,Run Ronnie Run
9914,Gojoe: Spirit War Chronicle
9915,A Gentleman's Game
9916,Joint Security Area
9917,Dagon
9918,Ripley's Game
9919,Conspiracy
9920,Freeze Me
9921,The Best Man's Wedding
9922,Teknolust
9923,A Dog's Will
9924,The Accidental Spy
9925,The Adversary
9926,The Beautiful Country
9927,Darkness
9928,Mockingbird Don't Sing
9929,Blood: The Last Vampire
9930,Vacuuming Completely Nude in Paradise
9931,Avenging Angelo
9932,Southern Comfort
9933,Berlin is in Germany
9934,Blueberry
9935,Electric Dragon 80.000 V
9936,The Nugget
9937,"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack"
9938,Shackleton's Antarctic Adventure
9939,The Barber
9940,Dirty Deeds
9941,Miranda
9942,My Little Eye
9943,Kung Phooey
9944,Stranded
9945,Millennium Mambo
9946,Martin & Orloff
9947,American Psycho 2: All American Girl
9948,Double Vision
9949,Soft Shell Man
9950,Samouraïs
9951,Ali G Indahouse
9952,Black Plague
9953,Dead or Alive 2: Birds
9954,Cube²: Hypercube
9955,"Milwaukee, Minnesota"
9956,Pistol Opera
9957,Secret Passage
9958,Stark Raving Mad
9959,Stark Raving Mad
9960,Pulse
9961,Killing Emmett Young
9962,The Lost Battalion
9963,Hukkle
9964,Carolina
9965,Charms For the Easy Life
9966,Dog Days
9967,Balzac and the Little Chinese Seamstress
9968,Dil Chahta Hai
9969,My Sassy Girl
9970,The Gathering
9971,Shot in the Heart
9972,Deadline
9973,The Warrior
9974,The Warrior
9975,The Warrior
9976,The Warrior
9977,My Wife Is a Gangster
9978,Nothing
9979,Undertaking Betty
9980,Waterboys
9981,Absolon
9982,Dead or Alive: Final
9983,Hell House
9984,Fubar
9985,The Happiness of the Katakuris
9986,Sex Is Comedy
9987,The Rage in Placid Lake
