,name,movie_title,release_date,budget,revenue,return
1867,Mike Nichols,Biloxi Blues,1988-03-25,20000000.0,51684798.0,2.58
1868,Chuck Russell,The Blob,1988-08-05,19000000.0,8247943.0,0.43
1869,Harold Becker,The Boost,1988-12-23,8000000.0,784990.0,0.1
1870,Bruno Dumont,Camille Claudel 1915,2013-03-13,3512454.0,115860.0,0.03
1871,Bruno Dumont,Camille Claudel 1915,2013-03-13,3512454.0,115860.0,0.03
1872,Bruno Dumont,Camille Claudel 1915,2013-03-13,3512454.0,115860.0,0.03
1873,Bruno Dumont,Camille Claudel 1915,2013-03-13,3512454.0,115860.0,0.03
1874,Roger Donaldson,Cocktail,1988-07-29,20000000.0,171504781.0,8.58
1875,Homi Adajania,Cocktail,2012-07-13,6400000.0,18800000.0,2.94
1876,Dennis Hopper,Colors,1988-04-15,6000000.0,46616067.0,7.77
1877,John Landis,Coming to America,1988-06-28,39000000.0,288752301.0,7.4
1878,Stephen Herek,Critters,1986-04-11,2000000.0,13167232.0,6.58
1879,Mick Garris,Critters 2,1988-04-29,4500000.0,3813293.0,0.85
1880,John R. Cherry III,Ernest Saves Christmas,1988-11-11,6000000.0,28202109.0,4.7
1881,Roman Polanski,Frantic,1988-02-16,20000000.0,17637950.0,0.88
1882,Howard Deutch,The Great Outdoors,1988-06-17,24000000.0,43455230.0,1.81
1883,Michael Dinner,Hot to Trot,1988-08-26,9000000.0,6436211.0,0.72
1884,Ken Russell,The Lair of the White Worm,1988-09-14,2500000.0,1189315.0,0.48
1885,Don Bluth,The Land Before Time,1988-11-18,12300000.0,84460846.0,6.87
1886,Greg Beeman,License to Drive,1988-07-06,8000000.0,22433275.0,2.8
1887,Richard Benjamin,My Stepmother is an Alien,1988-12-09,20000000.0,13854000.0,0.69
1888,Christopher Crowe,Off Limits,1988-03-11,12000000.0,7242035.0,0.6
1889,Marisa Silver,Permanent Record,1988-04-22,8000000.0,1893139.0,0.24
1890,Walter Hill,Red Heat,1988-06-17,29000000.0,34994648.0,1.21
1891,Ken Wiederhorn,Return of the Living Dead Part II,1988-01-15,6200000.0,9205924.0,1.48
1892,Dan O'Bannon,The Return of the Living Dead,1985-05-15,4000000.0,14237000.0,3.56
1893,George T. Miller,The Man from Snowy River,1982-03-02,3500000.0,20659423.0,5.9
1894,Wes Craven,The Serpent and the Rainbow,1988-02-05,7000000.0,19595031.0,2.8
1895,Blake Edwards,Sunset,1988-04-29,16000000.0,4594452.0,0.29
1896,John Carpenter,They Live,1988-11-23,4000000.0,13008928.0,3.25
1897,Ivan Reitman,Twins,1988-12-09,15000000.0,216614388.0,14.44
1898,Steven Spielberg,Always,1989-12-22,31000000.0,74134790.0,2.39
1899,Sam Firstenberg,American Ninja,1985-08-30,1000000.0,10499694.0,10.5
1900,Christopher Guest,The Big Picture,1989-09-15,5000000.0,117463.0,0.02
1901,Stephen Herek,Bill & Ted's Excellent Adventure,1989-02-17,10000000.0,40485039.0,4.05
1902,Ridley Scott,Black Rain,1989-09-22,30000000.0,45892212.0,1.53
1903,Brian De Palma,Casualties of War,1989-08-18,22500000.0,18671317.0,0.83
1904,Albert Pyun,Cyborg,1989-04-07,500000.0,10166459.0,20.33
1905,Gary David Goldberg,Dad,1989-10-27,19000000.0,19738015.0,1.04
1906,Julien Temple,Earth Girls Are Easy,1988-09-08,10000000.0,3916303.0,0.39
1907,John Milius,Farewell to the King,1989-03-03,16000000.0,2420917.0,0.15
1908,Eddie Murphy,Harlem Nights,1989-11-17,30000000.0,60864870.0,2.03
1909,Walter Hill,Johnny Handsome,1989-09-12,20000000.0,7237794.0,0.36
1910,Rod Daniel,K-9,1989-04-28,17000000.0,78247647.0,4.6
1911,Jean-Claude Van Damme,Kickboxer,1989-04-20,1500000.0,14697005.0,9.8
1912,David Worth,Kickboxer,1989-04-20,1500000.0,14697005.0,9.8
1913,Mark DiSalle,Kickboxer,1989-04-20,1500000.0,14697005.0,9.8
1914,George P. Cosmatos,Leviathan,1989-03-17,25000000.0,15704614.0,0.63
1915,Richard Greenberg,Little Monsters,1989-08-25,7000000.0,793775.0,0.11
1916,John Flynn,Lock Up,1989-08-04,24000000.0,22099847.0,0.92
1917,Amy Heckerling,Look Who's Talking,1989-10-12,7500000.0,296000000.0,39.47
1918,David S. Ward,Major League,1989-02-16,11000000.0,49797148.0,4.53
1919,Steve De Jarnatt,Miracle Mile,1989-05-19,3000000.0,1145404.0,0.38
1920,John Irvin,Next of Kin,1989-10-20,12000000.0,15942628.0,1.33
1921,Thomas J. Wright,No Holds Barred,1989-06-02,8000000.0,16093651.0,2.01
1922,Jonathan Hensleigh,The Punisher,2004-04-15,33000000.0,54700105.0,1.66
1923,Joseph Zito,Red Scorpion,1988-12-24,16000000.0,4192440.0,0.26
1924,Joe Johnston,Jurassic Park III,2001-07-18,93000000.0,368780809.0,3.97
1925,Takeshi Kitano,Brother,2000-09-09,12000000.0,15250000.0,1.27
1926,Franklin J. Schaffner,Planet of the Apes,1968-02-07,5800000.0,33395426.0,5.76
1927,Tim Burton,Planet of the Apes,2001-07-25,100000000.0,362211740.0,3.62
1928,Kiyoshi Kurosawa,Cure,1997-11-06,20000.0,99000.0,4.95
1929,Michael Polish,Jackpot,2001-07-26,400000.0,43719.0,0.11
1930,David Wain,Wet Hot American Summer,2001-07-27,5000000.0,295206.0,0.06
1931,Rowdy Herrington,Road House,1989-05-19,15000000.0,30050028.0,2.0
1932,Harold Becker,Sea of Love,1989-09-15,19000000.0,110879513.0,5.84
1933,Arthur Hiller,"See No Evil, Hear No Evil",1989-05-12,18000000.0,46908987.0,2.61
1934,Wes Craven,Shocker,1989-10-27,5000000.0,16554699.0,3.31
1935,Andrei Konchalovsky,Tango & Cash,1989-12-22,55000000.0,63408614.0,1.15
1936,Albert Magnoli,Tango & Cash,1989-12-22,55000000.0,63408614.0,1.15
1937,Francis Veber,Three Fugitives,1989-01-27,15000000.0,40590000.0,2.71
1938,John Hughes,Uncle Buck,1989-08-16,15000000.0,79258538.0,5.28
1939,Robert Bierman,Vampire's Kiss,1988-09-17,2000000.0,725131.0,0.36
1940,Todd Holland,The Wizard,1989-12-15,6000000.0,14278900.0,2.38
1941,Francis Ford Coppola,The Cotton Club,1984-12-14,58000000.0,25928721.0,0.45
1942,Michael Cristofer,Original Sin,2001-08-03,42000000.0,35402320.0,0.84
1943,Garry Marshall,The Princess Diaries,2001-08-03,37000000.0,165335153.0,4.47
1944,Brett Ratner,Rush Hour 2,2001-08-03,90000000.0,347325802.0,3.86
1945,Lasse Hallström,Chocolat,2000-12-14,25000000.0,152500343.0,6.1
1946,Joshua Logan,Paint Your Wagon,1969-10-15,20000000.0,31678778.0,1.58
1947,Ken Russell,Altered States,1980-12-25,15000000.0,19853892.0,1.32
1948,Nick Murphy ,The Awakening,2011-08-17,4798235.0,209696.0,0.04
1949,J.B. Rogers,American Pie 2,2001-08-10,30000000.0,287553595.0,9.59
1950,Bobby Farrelly,Osmosis Jones,2001-08-07,75000000.0,13596911.0,0.18
1951,Peter Farrelly,Osmosis Jones,2001-08-07,75000000.0,13596911.0,0.18
1952,Les Mayfield,American Outlaws,2001-08-17,35000000.0,13678913.0,0.39
1953,Brad Anderson,Session 9,2001-08-10,1500000.0,373967.0,0.25
1954,John Madden,Captain Corelli's Mandolin,2001-08-17,57000000.0,62112895.0,1.09
1955,Jerry Zucker,Rat Race,2001-07-30,48000000.0,85498534.0,1.78
1956,Kevin Smith,Jay and Silent Bob Strike Back,2001-08-22,22000000.0,33788161.0,1.54
1957,John Carpenter,Ghosts of Mars,2001-08-24,28000000.0,14010832.0,0.5
1958,Mike Tollin,Summer Catch,2001-08-22,34000000.0,19693891.0,0.58
1959,Victor Salva,Jeepers Creepers,2001-07-01,10000000.0,59217789.0,5.92
1960,Franck Khalfoun,Maniac,2012-12-26,6000000.0,31081.0,0.01
1961,Richard Wenk,Vamp,1986-07-18,1900000.0,4790926.0,2.52
1962,Neil LaBute,The Wicker Man,2006-09-01,40000000.0,38755073.0,0.97
1963,Peter Hyams,The Musketeer,2001-09-07,40000000.0,27053815.0,0.68
1964,Stephen Herek,Rock Star,2001-09-04,57000000.0,16991902.0,0.3
1965,Michael Cuesta,L.I.E.,2001-01-20,700000.0,1667192.0,2.38
1966,Daniel Sackheim,The Glass House,2001-09-14,30000000.0,23619609.0,0.79
1967,Brian Robbins,Hardball,2001-09-14,32000000.0,40222729.0,1.26
1968,Barry Sonnenfeld,Big Trouble,2002-04-05,40000000.0,8493890.0,0.21
1969,Vondie Curtis-Hall,Glitter,2001-09-21,22000000.0,5271666.0,0.24
1970,Antoine Fuqua,Training Day,2001-10-05,45000000.0,104876233.0,2.33
1971,Edward Burns,Sidewalks of New York,2001-11-23,1000000.0,2402459.0,2.4
1972,Stanley Kramer,"It's a Mad, Mad, Mad, Mad World",1963-11-07,9400000.0,60000000.0,6.38
1973,J. Lee Thompson,King Solomon's Mines,1985-03-20,12500000.0,238227.0,0.02
1974,Clint Eastwood,Play Misty for Me,1971-11-03,725000.0,10600000.0,14.62
1975,Frank Capra,Pocketful of Miracles,1961-12-18,2900000.0,5000000.0,1.72
1976,Harry Winer,SpaceCamp,1986-06-06,18000000.0,9697739.0,0.54
1977,Gary Fleder,Don't Say a Word,2001-09-28,50000000.0,100020092.0,2.0
1978,Scott Hicks,Hearts in Atlantis,2001-09-07,31000000.0,24185781.0,0.78
1979,Ben Stiller,Zoolander,2001-09-28,28000000.0,60780981.0,2.17
1980,John Dahl,Joy Ride,2001-10-05,23000000.0,36642838.0,1.59
1981,Tim Hill,Max Keeble's Big Move,2001-10-05,12000000.0,17292381.0,1.44
1982,Peter Chelsom,Serendipity,2001-10-05,28000000.0,77516304.0,2.77
1983,Samuel Fuller,The Big Red One,1980-05-28,4500000.0,7206220.0,1.6
1984,Michael Apted,Coal Miner's Daughter,1980-03-07,15000000.0,67182787.0,4.48
1985,Barry Levinson,Bandits,2001-10-12,75000000.0,67631903.0,0.9
1986,Rob Pritts,Corky Romano,2001-10-12,11000000.0,23978402.0,2.18
1987,David Lynch,Mulholland Drive,2001-05-16,15000000.0,20117339.0,1.34
1988,Ernest R. Dickerson,Bones,2001-10-24,10000000.0,7316658.0,0.73
1989,Don Siegel,Dirty Harry,1971-12-21,4000000.0,35976000.0,8.99
1990,Norman Jewison,Fiddler on the Roof,1971-11-03,9000000.0,83304330.0,9.26
1991,Albert Hughes,From Hell,2001-10-19,35000000.0,74558115.0,2.13
1992,Allen Hughes,From Hell,2001-10-19,35000000.0,74558115.0,2.13
1993,Rod Lurie,The Last Castle,2001-10-19,72000000.0,27642707.0,0.38
1994,Penny Marshall,Riding in Cars with Boys,2001-10-19,48000000.0,35743308.0,0.74
1995,Danny Pang,Bangkok Dangerous,2008-08-21,45000000.0,42487390.0,0.94
1996,Oxide Pang Chun,Bangkok Dangerous,2008-08-21,45000000.0,42487390.0,0.94
1997,Glenn Ficarra,Focus,2015-02-25,50100000.0,153962963.0,3.07
1998,John Requa,Focus,2015-02-25,50100000.0,153962963.0,3.07
1999,Iain Softley,K-PAX,2001-10-22,48000000.0,50315140.0,1.05
2000,Richard Kelly,Donnie Darko,2001-01-18,6000000.0,1270522.0,0.21
2001,Harold Becker,Domestic Disturbance,2001-10-30,75000000.0,54249294.0,0.72
2002,Pete Docter,"Monsters, Inc.",2001-11-01,115000000.0,562816256.0,4.89
2003,James Wong,The One,2001-11-02,49000000.0,72700000.0,1.48
2004,Richard Linklater,Tape,2001-01-26,100000.0,490475.0,4.9
2005,Scott Mann,Heist,2015-11-13,8900000.0,4100000.0,0.46
2006,Bobby Farrelly,Shallow Hal,2001-11-01,40000000.0,141069860.0,3.53
2007,Peter Farrelly,Shallow Hal,2001-11-01,40000000.0,141069860.0,3.53
2008,Simon West,When a Stranger Calls,2006-02-03,15000000.0,66966987.0,4.46
2009,DJ Pooh,The Wash,2001-11-16,7000000.0,10229331.0,1.46
2010,Chris Columbus,Harry Potter and the Philosopher's Stone,2001-11-16,125000000.0,976475550.0,7.81
2011,David Atkins,Novocaine,2001-11-23,6000000.0,2025238.0,0.34
2012,Brendan Malloy,Out Cold,2001-11-21,24000000.0,14782676.0,0.62
2013,Emmett Malloy,Out Cold,2001-11-21,24000000.0,14782676.0,0.62
2014,Tony Scott,Spy Game,2001-11-18,92000000.0,143049560.0,1.55
2015,Guillermo del Toro,The Devil's Backbone,2001-04-20,4500000.0,6459020.0,1.44
2016,William Wyler,Funny Girl,1968-09-19,14000000.0,52223306.0,3.73
2017,Luc Besson,Subway,1985-04-10,2000000.0,390659.0,0.2
2018,Peter Weir,The Last Wave,1977-01-01,810000.0,1258000.0,1.55
2019,Brian De Palma,Dressed to Kill,1980-06-25,6500000.0,31899000.0,4.91
2020,Mike Hodges,Flash Gordon,1980-09-01,35000000.0,27107960.0,0.77
2021,James Fargo,The Enforcer,1976-12-20,9000000.0,46236000.0,5.14
2022,Clint Eastwood,The Gauntlet,1977-12-21,5500000.0,26414658.0,4.8
2023,Steve Carver,Lone Wolf McQuade,1983-04-14,5000000.0,12232628.0,2.45
2024,Steven Soderbergh,Ocean's Eleven,2001-12-07,85000000.0,450717150.0,5.3
2025,Clint Eastwood,Sudden Impact,1983-12-07,22000000.0,67642693.0,3.07
2026,John Moore,Behind Enemy Lines,2001-11-17,40000000.0,91753202.0,2.29
2027,Steven Soderbergh,Ocean's Eleven,2001-12-07,85000000.0,450717150.0,5.3
2028,Jean-Pierre Jeunet,Amélie,2001-04-25,10000000.0,173921954.0,17.39
2029,Joel Gallen,Not Another Teen Movie,2001-12-07,16000000.0,66468332.0,4.15
2030,Cameron Crowe,Vanilla Sky,2001-12-10,68000000.0,203388341.0,2.99
2031,Andrei Kavun,Kandahar,2010-02-04,7000000.0,15172408.0,2.17
2032,Wes Anderson,The Royal Tenenbaums,2001-10-05,21000000.0,71441250.0,3.4
2033,John Guillermin,Sheena,1984-08-17,25000000.0,5778353.0,0.23
2034,Michael Miller,Silent Rage,1982-04-02,4500000.0,10500000.0,2.33
2035,Lamont Johnson,Spacehunter: Adventures in the Forbidden Zone,1983-05-20,15000000.0,16500000.0,1.1
2036,Jesse Dylan,How High,2001-12-21,12000000.0,31155435.0,2.6
2037,John A. Davis,Jimmy Neutron: Boy Genius,2001-12-21,25000000.0,80936232.0,3.24
2038,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,93000000.0,871368364.0,9.37
2039,Frank Darabont,The Majestic,2001-12-21,72000000.0,37317558.0,0.52
2040,Ron Howard,A Beautiful Mind,2001-12-11,60000000.0,313542341.0,5.23
2041,Breck Eisner,Sahara,2005-04-06,130000000.0,119269486.0,0.92
2042,Billy Wilder,Witness for the Prosecution,1957-12-17,3000000.0,9000000.0,3.0
2043,Michael Mann,Ali,2001-12-11,107000000.0,87713825.0,0.82
2044,Ridley Scott,Black Hawk Down,2001-12-28,92000000.0,172989651.0,1.88
2045,Barbra Streisand,Yentl,1983-11-18,12000000.0,30400000.0,2.53
2046,Robert Altman,Gosford Park,2001-11-07,19800000.0,87754044.0,4.43
2047,Jessie Nelson,I Am Sam,2001-12-28,22000000.0,92542418.0,4.21
2048,Marc Forster,Monster's Ball,2001-11-11,4000000.0,44909486.0,11.23
2049,Russell Mulcahy,Silent Trigger,1996-06-26,15000000.0,76382.0,0.01
2050,Christophe Gans,Brotherhood of the Wolf,2001-01-31,29000000.0,70752904.0,2.44
2051,Walter Hill,Another 48 Hrs.,1990-06-08,38000000.0,153518974.0,4.04
2052,Andrea Arnold,Wuthering Heights,2011-09-05,8000000.0,100915.0,0.01
2053,Matthew Robbins,Dragonslayer,1981-06-26,18000000.0,14110013.0,0.78
2054,Richard Fleischer,Conan the Destroyer,1984-06-29,18000000.0,100000000.0,5.56
2055,Ralph Bakshi,Fire and Ice,1983-03-25,1200000.0,760883.0,0.63
2056,William Sachs,Galaxina,1980-06-06,5500000.0,4865000.0,0.88
2057,Walter Hill,48 Hrs.,1982-12-07,12000000.0,78868508.0,6.57
2058,Douglas Trumbull,Brainstorm,1983-09-30,15000000.0,10219460.0,0.68
2059,Rob Cohen,Dragon: The Bruce Lee Story,1993-05-07,14000000.0,63513743.0,4.54
2060,Robert Altman,M*A*S*H,1970-01-24,3500000.0,81600000.0,23.31
2061,Marlon Brando,One-Eyed Jacks,1961-03-30,6000000.0,4300000.0,0.72
2062,Kevin Reynolds,The Count of Monte Cristo,2002-01-23,35000000.0,75395048.0,2.15
2063,Mark Pellington,The Mothman Prophecies,2002-01-25,32000000.0,55157539.0,1.72
2064,Adam Shankman,A Walk to Remember,2002-01-25,11000000.0,41227069.0,3.75
2065,Laurice Guillen,American Adobo,2001-09-29,344.0,4.0,0.01
2066,Fritz Lang,Metropolis,1927-01-10,92620000.0,650422.0,0.01
2067,Rintaro,Metropolis,2001-05-26,14500000.0,95789342.0,6.61
2068,Joel Schumacher,Cousins,1989-02-10,13000000.0,22030000.0,1.69
2069,Dewey Nicks,Slackers,2002-02-01,14000000.0,6413915.0,0.46
2070,John Schlesinger,Honky Tonk Freeway,1981-08-21,24000000.0,939423.0,0.04
2071,Gary Trousdale,The Hunchback of Notre Dame,1996-06-21,100000000.0,100138851.0,1.0
2072,Kirk Wise,The Hunchback of Notre Dame,1996-06-21,100000000.0,100138851.0,1.0
2073,Shawn Levy,Big Fat Liar,2002-02-08,15000000.0,52970014.0,3.53
2074,Andrew Davis,Collateral Damage,2002-02-06,85000000.0,78382433.0,0.92
2075,Patrick Read Johnson,Baby's Day Out,1994-07-01,50000000.0,16671505.0,0.33
2076,Blake Edwards,The Man Who Loved Women,1983-12-18,19000000.0,11000000.0,0.58
2077,Tamra Davis,Crossroads,2002-02-15,12000000.0,61141030.0,5.1
2078,Gregory Hoblit,Hart's War,2002-02-15,70000000.0,32287044.0,0.46
2079,Nick Cassavetes,John Q,2002-02-15,36000000.0,102244770.0,2.84
2080,Robin Budd,Return to Never Land,2002-02-14,20000000.0,109862682.0,5.49
2081,Donovan Cook,Return to Never Land,2002-02-14,20000000.0,109862682.0,5.49
2082,Jay Chandrasekhar,Super Troopers,2001-01-18,3000000.0,18492362.0,6.16
2083,Joseph Ruben,The Good Son,1993-09-24,17000000.0,44456478.0,2.62
2084,Bobby Farrelly,The Heartbreak Kid,2007-10-05,60000000.0,127766650.0,2.13
2085,Peter Farrelly,The Heartbreak Kid,2007-10-05,60000000.0,127766650.0,2.13
2086,Robert Zemeckis,Used Cars,1980-07-11,8000000.0,11715321.0,1.46
2087,Tom Shadyac,Dragonfly,2002-02-22,60000000.0,52322400.0,0.87
2088,Michael Rymer,Queen of the Damned,2002-02-10,35000000.0,45479110.0,1.3
2089,Michael Ritchie,The Bad News Bears,1976-04-07,35000000.0,35323292.0,1.01
2090,Gore Verbinski,The Lone Ranger,2013-07-03,255000000.0,89289910.0,0.35
2091,Jonathan Glazer,Under the Skin,2014-03-14,13300000.0,5380251.0,0.4
2092,Randall Wallace,We Were Soldiers,2002-03-01,75000000.0,114660784.0,1.53
2093,Mark Rydell,Intersection,1994-01-21,45000000.0,21355893.0,0.47
2094,Fritz Lang,Scarlet Street,1945-12-28,1202007.0,2948386.0,2.45
2095,Kevin Bray,All About the Benjamins,2002-03-08,14000000.0,25482931.0,1.82
2096,Simon Wells,The Time Machine,2002-03-04,80000000.0,123729176.0,1.55
2097,Steven Soderbergh,Full Frontal,2002-08-02,2000000.0,2506446.0,1.25
2098,Michael Cimino,Heaven's Gate,1980-11-19,44000000.0,3484331.0,0.08
2099,Michael Bay,The Island,2005-07-20,126000000.0,162949164.0,1.29
2100,Walter Hill,The Long Riders,1980-05-12,10000000.0,15795189.0,1.58
2101,Garry Marshall,Mother's Day,2016-04-28,25000000.0,48418160.0,1.94
2102,Chris Wedge,Ice Age,2002-03-10,59000000.0,383257136.0,6.5
2103,Paul W.S. Anderson,Resident Evil,2002-03-15,33000000.0,102984862.0,3.12
2104,Tom Dey,Showtime,2002-03-14,85000000.0,77741732.0,0.91
2105,Charles Herman-Wurmfeld,Kissing Jessica Stein,2001-04-21,1000000.0,10013424.0,10.01
2106,Alfonso Cuarón,Y Tu Mamá También,2001-06-08,5000000.0,33616692.0,6.72
2107,Tony Maylam,Split Second,1992-05-01,7.0,5.0,0.71
2108,Harold Becker,Taps,1981-12-20,14000000.0,35856053.0,2.56
2109,Wayne Kramer,Running Scared,2006-01-06,17000000.0,9500000.0,0.56
2110,Guillermo del Toro,Blade II,2002-03-22,54000000.0,155010032.0,2.87
2111,Jonathan Frakes,Clockstoppers,2002-03-17,26000000.0,38793283.0,1.49
2112,Jonathan Frakes,Clockstoppers,2002-03-17,26000000.0,38793283.0,1.49
2113,Jonathan Frakes,Clockstoppers,2002-03-17,26000000.0,38793283.0,1.49
2114,Jonathan Frakes,Clockstoppers,2002-03-17,26000000.0,38793283.0,1.49
2115,David Fincher,Panic Room,2002-03-29,48000000.0,196397415.0,4.09
2116,John Lee Hancock,The Rookie,2002-03-25,20000000.0,75597042.0,3.78
2117,Clint Eastwood,The Rookie,1990-12-06,10000000.0,21633874.0,2.16
2118,Michael Haneke,The Piano Teacher,2001-05-14,3000000.0,9801375.0,3.27
2119,Carl Franklin,High Crimes,2002-04-03,42000000.0,63781810.0,1.52
2120,Walt Becker,National Lampoon’s Van Wilder,2002-03-29,5000000.0,38275483.0,7.66
2121,Akira Kurosawa,Rashomon,1950-12-26,250000.0,96568.0,0.39
2122,Roger Michell,Changing Lanes,2002-04-07,45000000.0,94935764.0,2.11
2123,Bill Paxton,Frailty,2001-11-17,11000000.0,13110448.0,1.19
2124,Roger Kumble,The Sweetest Thing,2002-04-12,43000000.0,68696770.0,1.6
2125,Peter Bogdanovich,The Cat's Meow,2001-08-03,7000000.0,3646994.0,0.52
2126,Michel Gondry,Human Nature,2001-05-18,6000000.0,705308.0,0.12
2127,Joel Zwick,My Big Fat Greek Wedding,2002-02-22,5000000.0,368744044.0,73.75
2128,James Mangold,3:10 to Yuma,2007-09-06,55000000.0,70016220.0,1.27
2129,Tom Gries,Breakout,1975-05-21,1000000.0,16000000.0,16.0
2130,Barbet Schroeder,Murder by Numbers,2002-04-19,50000000.0,56714147.0,1.13
2131,Chuck Russell,The Scorpion King,2002-04-16,60000000.0,165333180.0,2.76
2132,James Isaac,Jason X,2001-07-24,11000000.0,16951798.0,1.54
2133,Stephen Herek,Life or Something Like It,2002-04-26,40000000.0,16872671.0,0.42
2134,D.J. Caruso,Salton Sea,2002-01-01,18000000.0,676698.0,0.04
2135,Bryan Johnson,Vulgar,2000-09-13,120000.0,14904.0,0.12
2136,Martin Scorsese,The Aviator,2004-12-17,116000000.0,102000000.0,0.88
2137,Tom Mankiewicz,Delirious,1991-08-09,18000000.0,5546827.0,0.31
2138,John G. Avildsen,Joe,1970-07-15,106000.0,19319254.0,182.26
2139,David Gordon Green,Joe,2014-04-11,4000000.0,2365467.0,0.59
2140,Douglas Day Stewart,Thief of Hearts,1984-10-19,9000000.0,10364904.0,1.15
2141,Sam Raimi,Spider-Man,2002-05-01,139000000.0,821708551.0,5.91
2142,Martha Coolidge,Rambling Rose,1991-09-10,7500000.0,6266621.0,0.84
2143,Randal Kleiser,White Fang,1991-01-18,14000000.0,34793160.0,2.49
2144,Adrian Lyne,Unfaithful,2002-05-10,50000000.0,119137784.0,2.38
2145,Stephen Frears,My Beautiful Laundrette,1985-09-07,860000.0,2451545.0,2.85
2146,Chris Weitz,About a Boy,2002-04-26,27000000.0,129000000.0,4.78
2147,Paul Weitz,About a Boy,2002-04-26,27000000.0,129000000.0,4.78
2148,George Lucas,Star Wars: Episode II - Attack of the Clones,2002-05-15,120000000.0,649398328.0,5.41
2149,Henry Bean,The Believer,2001-01-19,1500000.0,416925.0,0.28
2150,Michael Curtiz,The Charge of the Light Brigade,1936-10-20,1200000.0,2736000.0,2.28
2151,James Fargo,Every Which Way But Loose,1978-12-19,5.0,85.0,17.0
2152,Michael Apted,Enough,2002-05-24,38000000.0,51801187.0,1.36
2153,Christopher Nolan,Insomnia,2002-05-24,46000000.0,113714830.0,2.47
2154,Kelly Asbury,Spirit: Stallion of the Cimarron,2002-05-24,80000000.0,122563539.0,1.53
2155,Lorna Cook,Spirit: Stallion of the Cimarron,2002-05-24,80000000.0,122563539.0,1.53
2156,Rupert Wyatt,The Gambler,2014-12-25,25000000.0,39171130.0,1.57
2157,Phil Alden Robinson,The Sum of All Fears,2002-05-31,68000000.0,193000000.0,2.84
2158,Malcolm D. Lee,Undercover Brother,2002-05-31,25000000.0,41604473.0,1.66
2159,Dwight H. Little,Rapid Fire,1992-07-24,10000000.0,14356479.0,1.44
2160,Joel Schumacher,Bad Company,2002-06-07,70000000.0,65977295.0,0.94
2161,Zacharias Kunuk,Atanarjuat: The Fast Runner,2002-02-01,1934000.0,3786801.0,1.96
2162,Doug Liman,The Bourne Identity,2002-06-14,60000000.0,214034224.0,3.57
2163,Raja Gosnell,Scooby-Doo,2002-06-14,84000000.0,275650703.0,3.28
2164,John Woo,Windtalkers,2002-06-14,115000000.0,77628265.0,0.68
2165,Joel Schumacher,Bad Company,2002-06-07,70000000.0,65977295.0,0.94
2166,Martin Ritt,Hombre,1967-03-21,5860000.0,12000000.0,2.05
2167,Marshall Brickman,The Manhattan Project,1986-06-13,18000000.0,3900000.0,0.22
2168,John Ford,She Wore a Yellow Ribbon,1949-10-22,1600000.0,5400000.0,3.38
2169,Dean DeBlois,Lilo & Stitch,2002-06-21,80000000.0,145771527.0,1.82
2170,Chris Sanders,Lilo & Stitch,2002-06-21,80000000.0,145771527.0,1.82
2171,Steven Spielberg,Minority Report,2002-06-20,102000000.0,358372926.0,3.51
2172,Steven Brill,Mr. Deeds,2002-06-28,50000000.0,171269535.0,3.43
2173,Nicole Holofcener,Lovely & Amazing,2001-08-31,250000.0,4186931.0,16.75
2174,Barry Sonnenfeld,Men in Black II,2002-07-03,140000000.0,441818803.0,3.16
2175,Craig McCracken,The Powerpuff Girls Movie,2002-07-03,10000000.0,11411644.0,1.14
2176,Rob Bowman,Reign of Fire,2002-07-12,60000000.0,43061982.0,0.72
2177,Sam Mendes,Road to Perdition,2002-07-12,80000000.0,181001478.0,2.26
2178,James Bridges,Perfect,1985-06-07,19000000.0,12918858.0,0.68
2179,Charles B. Pierce,The Legend of Boggy Creek,1972-08-01,100000.0,22000000.0,220.0
2180,Rick Rosenthal,Halloween: Resurrection,2002-07-01,13000000.0,37664855.0,2.9
2181,Kathryn Bigelow,K-19: The Widowmaker,2002-07-19,100000000.0,35168966.0,0.35
2182,Rob Minkoff,Stuart Little 2,2002-07-19,120000000.0,169956806.0,1.42
2183,Jay Roach,Austin Powers in Goldmember,2002-07-26,63000000.0,296655431.0,4.71
2184,Nanette Burstein,The Kid Stays in the Picture,2002-01-18,40000.0,1434436.0,35.86
2185,Brett Morgen,The Kid Stays in the Picture,2002-01-18,40000.0,1434436.0,35.86
2186,Zhang Yimou,Happy Times,2000-12-31,1900000.0,240093.0,0.13
2187,Gary Winick,Tadpole,2002-11-01,150000.0,2891288.0,19.28
2188,Jerry Zucker,Top Secret!,1984-06-08,9000000.0,20458340.0,2.27
2189,Jim Abrahams,Top Secret!,1984-06-08,9000000.0,20458340.0,2.27
2190,David Zucker,Top Secret!,1984-06-08,9000000.0,20458340.0,2.27
2191,M. Night Shyamalan,Signs,2002-08-02,72000000.0,408247917.0,5.67
2192,Robert Rodriguez,Spy Kids 2: The Island of Lost Dreams,2002-08-07,38000000.0,119723358.0,3.15
2193,Miguel Arteta,The Good Girl,2002-01-12,8000000.0,16856124.0,2.11
2194,Clint Eastwood,Blood Work,2002-08-04,50000000.0,26199517.0,0.52
2195,Rob Cohen,xXx,2002-08-09,70000000.0,277448382.0,3.96
